author,isbn,pages,title
Suzanne Collins,9.78E+12,374 pages,The Hunger Games
J.K. Rowling|Mary GrandPré,9.78E+12,870 pages,Harry Potter and the Order of the Phoenix
Harper Lee,9.78E+12,324 pages,To Kill a Mockingbird
Jane Austen|Anna Quindlen|Mrs. Oliphant|George Saintsbury|Mark Twain|A.C. Bradley|Walter A. Raleigh|Virginia Woolf,9.78E+12,279 pages,Pride and Prejudice
Stephenie Meyer,9.78E+12,498 pages,Twilight
Markus Zusak,9.78E+12,552 pages,The Book Thief
C.S. Lewis|Pauline Baynes,9.78E+12,767 pages,The Chronicles of Narnia
George Orwell,9.78E+12,122 pages,Animal Farm
Margaret Mitchell,9.78E+12,1037 pages,Gone with the Wind
J.R.R. Tolkien,9.78E+12,1728 pages,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings
John Green,9.78E+12,313 pages,The Fault in Our Stars
Douglas Adams,9.78E+12,193 pages,The Hitchhiker's Guide to the Galaxy
Shel Silverstein,9.78E+12,64 pages,The Giving Tree
Emily Brontë|Richard J. Dunn|David Timson|Charlotte Brontë|Ruth Golding|Robert Heindel,9.78E+12,464 pages,Wuthering Heights
Dan Brown,9.78E+12,481 pages,The Da Vinci Code
Arthur Golden,9.78E+12,434 pages,Memoirs of a Geisha
Lewis Carroll|John Tenniel|Martin Gardner,9.78E+12,239 pages,Alice's Adventures in Wonderland & Through the Looking-Glass
Oscar Wilde|Jeffrey Eugenides,9.78E+12,367 pages,The Picture of Dorian Gray
Victor Hugo|Lee Fahnestock|Norman MacAfee,9.78E+12,1463 pages,Les Misérables
Veronica Roth,9.78E+12,487 pages,Divergent
Charlotte Brontë|Michael Mason,9.78E+12,507 pages,Jane Eyre
William Shakespeare|Barbara A. Mowat|Paul Werstine,9.78E+12,283 pages,Romeo and Juliet
William Golding,9.78E+12,182 pages,Lord of the Flies
Paulo Coelho|Alan R. Clarke|Özdemir İnce,9.78E+12,197 pages,The Alchemist
Fyodor Dostoyevsky|David McDuff,9.78E+12,671 pages,Crime and Punishment
Orson Scott Card,9.78E+12,324 pages,Ender's Game
Stephen Chbosky,9.78E+12,213 pages,The Perks of Being a Wallflower
Cassandra Clare|Franca Fritz|Heinrich Koop|Franka Fritz,9.78E+12,485 pages,City of Bones
Kathryn Stockett,9.78E+12,465 pages,The Help
E.B. White|Garth Williams|Rosemary Wells,9.78E+12,184 pages,Charlotte's Web
L.M. Montgomery,9.78E+12,320 pages,Anne of Green Gables
John Steinbeck,9.78E+12,112 pages,Of Mice and Men
Bram Stoker|Nina Auerbach|David J. Skal,9.78E+12,488 pages,Dracula
Aldous Huxley,9.78E+12,288 pages,Brave New World
Gabriel García Márquez|Gregory Rabassa,9.78E+12,417 pages,One Hundred Years of Solitude
Antoine de Saint-Exupéry|Richard Howard|Dom Marcos Barbosa|Melina Karakosta,9.78E+12,93 pages,The Little Prince
William Goldman,9.78E+12,398 pages,The Princess Bride
Frances Hodgson Burnett,9.78E+12,331 pages,The Secret Garden
J.D. Salinger,9.78E+12,277 pages,The Catcher in the Rye
Khaled Hosseini,9.78E+12,372 pages,A Thousand Splendid Suns
Madeleine L'Engle,9.78E+12,211 pages,A Wrinkle in Time
Ray Bradbury|Alfredo Crespo,9.78E+12,175 pages,Fahrenheit 451
George R.R. Martin,9.78E+12,848 pages,A Game of Thrones
Rick Riordan,9.78E+12,375 pages,The Lightning Thief
Mark Twain|Guy Cardwell|John Seelye,9.78E+12,327 pages,The Adventures of Huckleberry Finn
Alice Sebold,9.78E+12,328 pages,The Lovely Bones
Maurice Sendak,9.78E+12,37 pages,Where the Wild Things Are
Dr. Seuss,9.78E+12,62 pages,Green Eggs and Ham
J.K. Rowling|Mary GrandPré,9.78E+12,320 pages,Harry Potter and the Sorcerer's Stone
Yann Martel,9.78E+12,460 pages,Life of Pi
Charles Dickens|Richard Maxwell|Hablot Knight Browne,9.78E+12,489 pages,A Tale of Two Cities
Sara Gruen,9.78E+12,335 pages,Water for Elephants
Homer|Robert Fagles|Bernard Knox,9.78E+12,541 pages,The Odyssey
Kurt Vonnegut,9.78E+12,275 pages,Slaughterhouse-Five
Joseph Heller,9.78E+12,453 pages,Catch-22
Mary Wollstonecraft Shelley|Percy Bysshe Shelley|Maurice Hindle,9.78E+12,273 pages,Frankenstein
Khaled Hosseini,9.78E+12,371 pages,The Kite Runner
Ken Follett,9.78E+12,973 pages,The Pillars of the Earth
Stephen King|Bernie Wrightson,9.78E+12,1153 pages,The Stand
Lois Lowry,9.78E+12,208 pages,The Giver
Richard  Adams,9.78E+12,478 pages,Watership Down
Margaret Atwood,9.78E+12,311 pages,The Handmaid's Tale
Arthur Conan Doyle,9.78E+12,339 pages,The Adventures of Sherlock Holmes
Jodi Picoult,9.78E+12,423 pages,My Sister's Keeper
Ken Kesey,9.78E+12,325 pages,One Flew Over the Cuckoo's Nest
Sylvia Plath|Reinhard Kaiser,9.78E+12,244 pages,The Bell Jar
Diana Gabaldon,9.78E+12,850 pages,Outlander
Stieg Larsson|Reg Keeland,9.78E+12,465 pages,The Girl with the Dragon Tattoo
Daphne du Maurier,9.78E+12,449 pages,Rebecca
Betty  Smith,9.78E+12,496 pages,A Tree Grows in Brooklyn
Roald Dahl|Quentin Blake,9.78E+12,240 pages,Matilda
Alice Walker,9.78E+12,295 pages,The Color Purple
J.R.R. Tolkien,9.78E+12,398 pages,The Fellowship of the Ring
Louisa May Alcott,9.78E+12,449 pages,Little Women
Cormac McCarthy,9.78E+12,241 pages,The Road
Frank McCourt,9.78E+12,452 pages,Angela's Ashes
Anthony Burgess,9.78E+12,212 pages,A Clockwork Orange
Fyodor Dostoyevsky|Richard Pevear|Larissa Volokhonsky,9.78E+12,796 pages,The Brothers Karamazov
Frank Herbert,9.78E+12,604 pages,Dune
Barbara Kingsolver,9.78E+12,546 pages,The Poisonwood Bible
Hermann Hesse|Hilda Rosner,9.78E+12,152 pages,Siddhartha
Ayn Rand|Leonard Peikoff,9.78E+12,1168 pages,Atlas Shrugged
J.K. Rowling|Mary GrandPré,9.78E+12,759 pages,Harry Potter and the Deathly Hallows
Miguel de Cervantes Saavedra|Roberto González Echevarría|John Rutherford|Ernani Ssó,9.78E+12,1023 pages,Don Quixote
Philip Pullman,9.78E+12,399 pages,The Golden Compass
Ray Bradbury,9.78E+12,227 pages,Fahrenheit 451
Nicholas Sparks,9.78E+12,214 pages,The Notebook
Ernest Hemingway,9.78E+12,132 pages,The Old Man and the Sea
Charles Dickens,9.78E+12,512 pages,Great Expectations
Edgar Allan Poe,9.78E+12,821 pages,The Complete Stories and Poems
John Irving,9.78E+12,637 pages,A Prayer for Owen Meany
A.A. Milne|Ernest H. Shepard,9.78E+12,145 pages,Winnie-the-Pooh
Leo Tolstoy|Richard Pevear|Larissa Volokhonsky,9.78E+12,838 pages,Anna Karenina
Herman Melville|Andrew Delbanco|Tom Quirk,9.78E+12,720 pages,"Moby-Dick or, The Whale"
Anne Rice,9.78E+12,342 pages,Interview with the Vampire
George Orwell|Erich Fromm,9.78E+12,328 pages,1984
Anita Diamant,9.78E+12,336 pages,The Red Tent
Sue Monk Kidd,9.78E+12,336 pages,The Secret Life of Bees
J.K. Rowling|Mary GrandPré,9.78E+12,435 pages,Harry Potter and the Prisoner of Azkaban
Cassandra Clare,9.78E+12,481 pages,Clockwork Angel
Jeffrey Eugenides,9.78E+12,529 pages,Middlesex
Charles Dickens|Marisa Sestino,9.78E+12,505 pages,Great Expectations
Mark Twain|Guy Cardwell|John Seelye,9.78E+12,244 pages,The Adventures of Tom Sawyer
Agatha Christie,9.78E+12,264 pages,And Then There Were None
