9780002005883,Gilead,,Marilynne Robinson,247
9780002261982,Spider's Web,A Novel,Charles Osborne;Agatha Christie,241
9780006163831,The One Tree,,Stephen R. Donaldson,479
9780006178736,Rage of angels,,Sidney Sheldon,512
9780006280897,The Four Loves,,Clive Staples Lewis,170
9780006280934,The Problem of Pain,,Clive Staples Lewis,176
9780006353287,An Autobiography,,Agatha Christie,560
9780006380832,Empires of the Monsoon,A History of the Indian Ocean and Its Invaders,Richard Hall,608
9780006470229,The Gap Into Madness,Chaos and Order,Stephen R. Donaldson,743
9780006472612,Master of the Game,,Sidney Sheldon,489
9780006479673,If Tomorrow Comes,,Sidney Sheldon,501
9780006480099,Assassin's Apprentice,,Robin Hobb,460
9780006482079,Warhost of Vastmark,,Janny Wurts,522
9780006483014,The Once and Future King,,Terence Hanbury White,823
9780006483892,Murder in LaMut,,Raymond E. Feist;Joel Rosenberg,337
9780006483908,Jimmy the Hand,,Raymond E. Feist;S. M. Stirling,368
9780006486145,Well of Darkness,,Margaret Weis;Tracy Hickman,599
9780006490456,Witness for the Prosecution & Selected Plays,,Agatha Christie,352
9780006496434,The Little House,,Philippa Gregory,368
9780006496878,Mystical Paths,,Susan Howatch,576
9780006496892,Glittering Images,,Susan Howatch,512
9780006496922,Glamorous Powers,,Susan Howatch,512
9780006498865,The Mad Ship,,Robin Hobb,906
9780006499169,Post Captain,,Patrick O'Brian,474
9780006499268,The Reverse of the Medal,,Patrick O'Brian,261
9780006499626,Miss Marple,The Complete Short Stories,Agatha Christie,359
9780006511489,The Years of Rice and Salt,,Kim Stanley Robinson,772
9780006512677,Spares,,Michael Marshall Smith,317
9780006513087,Gravity,,Tess Gerritsen,342
9780006514640,The Wise Woman,,Philippa Gregory,640
9780006514855,Girls' Night in,,Jessica Adams;Chris Manby;Fiona Walker,586
9780006545866,The White Album,,Joan Didion,224
9780006550433,The Bonesetter's Daughter,,Amy Tan,352
9780006551393,The Lexus and the Olive Tree,,Thomas L. Friedman,352
9780006551812,'Tis,A Memoir,Frank McCourt,495
9780006646006,Ocean Star Express,,Mark Haddon;Peter Sutton,32
9780006754893,A Small Pinch of Weather,And Other Stories,Joan Aiken,239
9780006906018,The Princess of the Chalet School,,Elinor Mary Brent-Dyer,159
9780007103676,Koko,,Peter Straub,634
9780007105045,Tree and Leaf,The Homecoming of Beorhtnoth : Beorhthelm's Son,John Ronald Reuel Tolkien,176
9780007111503,Partners in Crime,,Agatha Christie,347
9780007113804,Murder in Mesopotamia,,Agatha Christie,264
9780007116263,"The Lord of the Rings, the Return of the King",Visual Companion,Jude Fisher,72
9780007117536,All Families are Psychotic,,Douglas Coupland,279
9780007119332,Death in the Clouds,,Agatha Christie,333
9780007119356,Appointment with Death,,Agatha Christie,303
9780007120680,Hallowe'en Party,,Agatha Christie,336
9780007120697,Hercule Poirot's Christmas,,Agatha Christie,335
9780007120819,The Big Four,,Agatha Christie,272
9780007120864,The Thirteen Problems,,Agatha Christie,315
9780007120871,They Do it with Mirrors,,Agatha Christie,284
9780007120963,A Murder is Announced,,Agatha Christie,382
9780007120987,The Mirror Crack'd from Side to Side,,Agatha Christie,351
9780007121007,Mrs McGinty's Dead,,Agatha Christie,328
9780007121014,Taken at the Flood,,Agatha Christie,352
9780007121021,The Hollow,,Agatha Christie,384
9780007121106,Third Girl,,Agatha Christie,365
9780007122585,The Secret of Chimneys,,Agatha Christie,400
9780007124015,The Lord of the Rings,,J. R. R. Tolkien,1546
9780007126903,The Metaphysical Club,,Louis Menand,560
9780007127740,The illustrated man,,Ray Bradbury,186
9780007129652,Wilkins' Tooth,,Diana Wynne Jones,207
9780007130313,Cut,,Patricia McCormick,173
9780007135653,The Lord of the Rings,The Art of The Return of the King,Gary Russell,224
9780007136582,The Lord of the Rings,,John Ronald Reuel Tolkien,1200
9780007136599,The Fellowship of the Ring,,John Ronald Reuel Tolkien;Alan Lee,410
9780007137336,Lirael,Daughter of the Clayr,Garth Nix,527
9780007149124,Tales from the Perilous Realm,,John Ronald Reuel Tolkien,178
9780007149612,Breaking Open the Head,A Visionary Journey from Cynicism to Shamanism,Daniel Pinchbeck,336
9780007149827,The Yiddish Policemen's Union,A Novel,Michael Chabon,414
9780007150304,"Beware, Princess Elizabeth",,Carolyn Meyer,242
9780007151240,The Family Way,,Tony Parsons,400
9780007151677,Endless Night,,Agatha Christie,303
9780007153589,How to be Alone,,Jonathan Franzen,306
9780007154845,The Mysterious Mr. Quin,,Agatha Christie,396
9780007154883,The Listerdale Mystery,,Agatha Christie,317
9780007158058,The Real Trial of Oscar Wilde,,Merlin Holland,384
9780007158515,I Can Read with Me Eyes Shut!,,Dr. Seuss,48
9780007158522,"Oh, the Places You'll Go!",,Dr. Seuss,48
9780007162994,If I Die in a Combat Zone,,Tim O'Brien,208
9780007171996,The Return of the King,Being the Third Part of The Lord of the Rings,J. R. R. Tolkien,554
9780007173020,The Silmarillion,,John Ronald Reuel Tolkien;Ted Nasmith,386
9780007173136,I Wish that I Had Duck Feet,,Dr. Seuss;Barney Tobey,64
9780007175222,Oh Say Can You Say?,,Dr. Seuss,36
9780007178636,There's a Boy in the Girls' Bathroom,,Louis Sachar,208
9780007179817,Microserfs,,Douglas Coupland,371
